words,nos,translation
ég,373367,I
ađ,321507,a
er,297275,which
í,209177,in
ekki,208254,not
ūađ,191073,you
og,169167,and
á,148426,on
ūú,145231,you
viđ,130268,We
hann,114815,he
ūetta,106434,you
hvađ,75674,what
sem,70733,which
mér,70033,me
til,68173,to
en,65837,but
međ,64293,among
ūér,60237,you
fyrir,59872,by
af,56961,of
um,56051,of
var,54859,was
mig,49432,me
ūig,49299,ūig
Já,46613,Yes
að,46300,that
hún,41336,she
nei,40238,no
ūví,38155,you
allt,36725,everything
bara,33074,just
eru,32578,are
svo,32353,then
ef,31581,if
ert,30448,are
ūá,29200,y
það,25690,it
ertu,25393,are you
okkur,24991,U.S
eins,24896,likewise
vera,24155,stay
eftir,24039,over
lagi,23888,right
gera,23648,do
veit,23123,know
hefur,22710,has
hér,22587,here
ūiđ,22463,ūi
ūeir,22448,you
nú,22059,now
frá,21413,of
fara,20649,leave
hvernig,19979,how
þú,19449,you
út,19060,out
við,18976,we
ūegar,18769,today
hef,18234,have
upp,18190,up
aftur,17999,again
honum,17957,him
minn,17592,mine
svona,17554,thus
ekkert,17015,nothing
vel,16954,well
verđur,16392,worth
hana,16382,her
sé,16246,see
hver,15990,any
ykkur,15401,you
ūessu,15198,this
þetta,14971,that
vil,14741,want
veriđ,14571,would be
komdu,14365,come
eđa,14320,or
segja,14300,tell
erum,14280,are
hérna,13949,here
úr,13864,watch
get,13773,can
aldrei,13656,never
hverju,13653,which
gott,13524,good
hvar,13309,where
hafa,12971,have
hjá,12773,on
getur,12414,can
koma,12316,arrival
okkar,12228,our
viltu,12162,do you want
inn,12102,inwards
mín,12050,mine
fá,12027,gain
núna,11958,presently
mađur,11834,center
takk,11712,thanks
eitthvađ,11492,something
kannski,11191,perhaps
herra,11177,master
sagđi,10987,said
hans,10909,his
ūau,10809,ūau
hvað,10661,what
ūarna,10449,there
tala,10263,talk
ūarf,10238,need
henni,10172,her
væri,9968,would be
sjá,9837,see
ūar,9685,you
líka,9529,too
held,9456,think
fer,9365,goes
ūín,9324,you
áfram,9317,forward
ūeim,9138,them
ūess,8960,this
rétt,8908,authorize
sér,8896,with
farđu,8885,care
ūinn,8851,the one
mjög,8804,very
vegna,8787,because of
með,8784,with
kemur,8686,comes
saman,8676,together
gert,8477,done
þér,8147,you
sá,8032,that
einn,8013,solitary
enn,7845,still
verđ,7765,worth
alltaf,7674,ever
gæti,7639,could
of,7599,too
allir,7578,everyone
ætla,7462,intend
yfir,7454,past
hafi,7429,Have
pabbi,7404,dad
má,7342,may
ūessi,7319,this
enginn,7251,no
kom,7223,came
dag,7175,day
mamma,7161,mom
skal,7125,shall
sig,7012,himself
heldur,6972,rather
komiđ,6902,come
veistu,6897,do you know
bíddu,6873,wait
vita,6808,know
mitt,6734,mine
förum,6709,went
heim,6651,home
átt,6577,direction
sama,6534,same
guđ,6528,guy
tíma,6512,devote
ūakka,6494,expect
einhver,6426,some
höfum,6377,have
